Indicator,Day,High,Low,Average,Confidence,Accuracy,Weight,ExecutionTime
PARABOLIC_SAR,7,123789.97,121725.02,122757.50,30.0%,71.0%,0.080,2ms
PARABOLIC_SAR,8,123831.23,121765.60,122798.41,30.0%,71.0%,0.080,2ms
PARABOLIC_SAR,9,123804.72,121739.53,122772.12,30.0%,71.0%,0.080,2ms
PARABOLIC_SAR,10,123725.67,121661.80,122693.73,30.0%,71.0%,0.080,2ms
SMA,1,119954.44,118284.65,119119.55,80.4%,70.0%,0.100,3ms
SMA,2,120393.66,118717.76,119555.71,76.1%,70.0%,0.100,3ms
SMA,3,120775.87,119094.64,119935.26,72.0%,70.0%,0.100,3ms
SMA,4,121106.18,119420.35,120263.26,68.1%,70.0%,0.100,3ms
SMA,5,121389.36,119699.60,120544.48,64.4%,70.0%,0.100,3ms
SMA,6,121629.87,119936.75,120783.31,60.9%,70.0%,0.100,3ms
SMA,7,121831.81,120135.89,120983.85,57.6%,70.0%,0.100,3ms
SMA,8,121999.00,120300.75,121149.87,54.5%,70.0%,0.100,3ms
SMA,9,122134.95,120434.80,121284.87,51.6%,70.0%,0.100,3ms
SMA,10,122242.89,120541.24,121392.06,48.8%,70.0%,0.100,3ms
STOCHASTIC,1,118886.31,116903.17,117894.74,76.8%,68.0%,0.090,3ms
STOCHASTIC,2,118298.68,116325.34,117312.01,67.8%,68.0%,0.090,3ms
STOCHASTIC,3,117833.37,115867.78,116850.57,59.8%,68.0%,0.090,3ms
STOCHASTIC,4,117471.13,115511.59,116491.36,52.8%,68.0%,0.090,3ms
STOCHASTIC,5,117195.66,115240.71,116218.18,46.6%,68.0%,0.090,3ms
STOCHASTIC,6,116993.08,115041.51,116017.30,41.1%,68.0%,0.090,3ms
STOCHASTIC,7,116851.58,114902.37,115876.98,36.3%,68.0%,0.090,3ms
STOCHASTIC,8,116761.06,114813.36,115787.21,32.0%,68.0%,0.090,3ms
STOCHASTIC,9,116712.90,114766.01,115739.46,30.0%,68.0%,0.090,3ms
STOCHASTIC,10,116699.73,114753.06,115726.40,30.0%,68.0%,0.090,3ms
ADX,1,119466.63,117803.63,118635.13,61.5%,66.0%,0.070,3ms
ADX,2,119478.84,117815.67,118647.26,57.2%,66.0%,0.070,3ms
ADX,3,119489.53,117826.21,118657.87,53.3%,66.0%,0.070,3ms
ADX,4,119498.82,117835.37,118667.10,49.6%,66.0%,0.070,3ms
ADX,5,119506.86,117843.30,118675.08,46.2%,66.0%,0.070,3ms
ADX,6,119513.75,117850.09,118681.92,43.0%,66.0%,0.070,3ms
ADX,7,119519.61,117855.87,118687.74,40.0%,66.0%,0.070,3ms
ADX,8,119524.54,117860.73,118692.63,37.3%,66.0%,0.070,3ms
ADX,9,119528.62,117864.76,118696.69,34.7%,66.0%,0.070,3ms
ADX,10,119531.95,117868.04,118699.99,32.3%,66.0%,0.070,3ms
